,ones,Mkt-RF,Mkt**2
2/1/96,1,1.33,1.7689
3/1/96,1,0.73,0.5329
4/1/96,1,2.06,4.2436
5/1/96,1,2.36,5.5696
6/1/96,1,-1.14,1.2996
7/1/96,1,-5.97,35.6409
8/1/96,1,2.76,7.6176
9/1/96,1,5.02,25.2004
10/1/96,1,0.86,0.7396
11/1/96,1,6.25,39.0625
12/1/96,1,-1.7,2.89
1/1/97,1,4.99,24.9001
2/1/97,1,-0.49,0.2401
3/1/97,1,-5.03,25.3009
4/1/97,1,4.04,16.3216
5/1/97,1,6.74,45.4276
6/1/97,1,4.1,16.81
7/1/97,1,7.33,53.7289
8/1/97,1,-4.15,17.2225
9/1/97,1,5.35,28.6225
10/1/97,1,-3.8,14.44
11/1/97,1,2.98,8.8804
12/1/97,1,1.32,1.7424
1/1/98,1,0.15,0.0225
2/1/98,1,7.03,49.4209
3/1/98,1,4.76,22.6576
4/1/98,1,0.73,0.5329
5/1/98,1,-3.07,9.4249
6/1/98,1,3.18,10.1124
7/1/98,1,-2.46,6.0516
8/1/98,1,-16.08,258.5664
9/1/98,1,6.15,37.8225
10/1/98,1,7.13,50.8369
11/1/98,1,6.1,37.21
12/1/98,1,6.16,37.9456
1/1/99,1,3.5,12.25
2/1/99,1,-4.08,16.6464
3/1/99,1,3.45,11.9025
4/1/99,1,4.33,18.7489
5/1/99,1,-2.46,6.0516
6/1/99,1,4.77,22.7529
7/1/99,1,-3.47,12.0409
8/1/99,1,-1.38,1.9044
9/1/99,1,-2.81,7.8961
10/1/99,1,6.13,37.5769
11/1/99,1,3.37,11.3569
12/1/99,1,7.72,59.5984
1/1/00,1,-4.74,22.4676
2/1/00,1,2.45,6.0025
3/1/00,1,5.2,27.04
4/1/00,1,-6.4,40.96
5/1/00,1,-4.42,19.5364
6/1/00,1,4.64,21.5296
7/1/00,1,-2.51,6.3001
8/1/00,1,7.03,49.4209
9/1/00,1,-5.45,29.7025
10/1/00,1,-2.76,7.6176
11/1/00,1,-10.72,114.9184
12/1/00,1,1.19,1.4161
1/1/01,1,3.13,9.7969
2/1/01,1,-10.05,101.0025
3/1/01,1,-7.26,52.7076
4/1/01,1,7.94,63.0436
5/1/01,1,0.72,0.5184
6/1/01,1,-1.94,3.7636
7/1/01,1,-2.13,4.5369
8/1/01,1,-6.46,41.7316
9/1/01,1,-9.25,85.5625
10/1/01,1,2.46,6.0516
11/1/01,1,7.54,56.8516
12/1/01,1,1.61,2.5921
1/1/02,1,-1.44,2.0736
2/1/02,1,-2.29,5.2441
3/1/02,1,4.24,17.9776
4/1/02,1,-5.2,27.04
5/1/02,1,-1.38,1.9044
6/1/02,1,-7.21,51.9841
7/1/02,1,-8.18,66.9124
8/1/02,1,0.5,0.25
9/1/02,1,-10.35,107.1225
10/1/02,1,7.84,61.4656
11/1/02,1,5.96,35.5216
12/1/02,1,-5.76,33.1776
1/1/03,1,-2.57,6.6049
2/1/03,1,-1.88,3.5344
3/1/03,1,1.09,1.1881
4/1/03,1,8.22,67.5684
5/1/03,1,6.05,36.6025
6/1/03,1,1.42,2.0164
7/1/03,1,2.35,5.5225
8/1/03,1,2.34,5.4756
9/1/03,1,-1.24,1.5376
10/1/03,1,6.08,36.9664
11/1/03,1,1.35,1.8225
12/1/03,1,4.29,18.4041
1/1/04,1,2.15,4.6225
2/1/04,1,1.4,1.96
3/1/04,1,-1.32,1.7424
4/1/04,1,-1.83,3.3489
5/1/04,1,1.17,1.3689
6/1/04,1,1.86,3.4596
7/1/04,1,-4.06,16.4836
8/1/04,1,0.08,0.0064
9/1/04,1,1.6,2.56
10/1/04,1,1.43,2.0449
11/1/04,1,4.54,20.6116
12/1/04,1,3.43,11.7649
1/1/05,1,-2.76,7.6176
2/1/05,1,1.89,3.5721
3/1/05,1,-1.97,3.8809
4/1/05,1,-2.61,6.8121
5/1/05,1,3.65,13.3225
6/1/05,1,0.57,0.3249
7/1/05,1,3.92,15.3664
8/1/05,1,-1.22,1.4884
9/1/05,1,0.49,0.2401
10/1/05,1,-2.02,4.0804
11/1/05,1,3.61,13.0321
12/1/05,1,-0.25,0.0625
1/1/06,1,3.04,9.2416
2/1/06,1,-0.3,0.09
3/1/06,1,1.46,2.1316
4/1/06,1,0.73,0.5329
5/1/06,1,-3.57,12.7449
6/1/06,1,-0.35,0.1225
7/1/06,1,-0.78,0.6084
8/1/06,1,2.03,4.1209
9/1/06,1,1.84,3.3856
10/1/06,1,3.23,10.4329
11/1/06,1,1.71,2.9241
12/1/06,1,0.87,0.7569
1/1/07,1,1.4,1.96
2/1/07,1,-1.96,3.8416
3/1/07,1,0.68,0.4624
4/1/07,1,3.49,12.1801
5/1/07,1,3.24,10.4976
6/1/07,1,-1.96,3.8416
7/1/07,1,-3.73,13.9129
8/1/07,1,0.92,0.8464
9/1/07,1,3.22,10.3684
10/1/07,1,1.8,3.24
11/1/07,1,-4.83,23.3289
12/1/07,1,-0.87,0.7569
1/1/08,1,-6.36,40.4496
2/1/08,1,-3.09,9.5481
3/1/08,1,-0.93,0.8649
4/1/08,1,4.6,21.16
5/1/08,1,1.86,3.4596
6/1/08,1,-8.44,71.2336
7/1/08,1,-0.77,0.5929
8/1/08,1,1.53,2.3409
9/1/08,1,-9.24,85.3776
10/1/08,1,-17.23,296.8729
11/1/08,1,-7.86,61.7796
12/1/08,1,1.74,3.0276
1/1/09,1,-8.12,65.9344
2/1/09,1,-10.1,102.01
3/1/09,1,8.95,80.1025
4/1/09,1,10.19,103.8361
5/1/09,1,5.21,27.1441
6/1/09,1,0.43,0.1849
7/1/09,1,7.72,59.5984
8/1/09,1,3.33,11.0889
9/1/09,1,4.08,16.6464
10/1/09,1,-2.59,6.7081
11/1/09,1,5.56,30.9136
12/1/09,1,2.75,7.5625
1/1/10,1,-3.36,11.2896
2/1/10,1,3.4,11.56
3/1/10,1,6.31,39.8161
4/1/10,1,2.0,4.0
5/1/10,1,-7.89,62.2521
6/1/10,1,-5.56,30.9136
7/1/10,1,6.93,48.0249
8/1/10,1,-4.77,22.7529
9/1/10,1,9.54,91.0116
10/1/10,1,3.88,15.0544
11/1/10,1,0.6,0.36
12/1/10,1,6.82,46.5124
1/1/11,1,1.99,3.9601
2/1/11,1,3.49,12.1801
3/1/11,1,0.45,0.2025
4/1/11,1,2.9,8.41
5/1/11,1,-1.27,1.6129
6/1/11,1,-1.75,3.0625
7/1/11,1,-2.36,5.5696
8/1/11,1,-5.99,35.8801
9/1/11,1,-7.59,57.6081
10/1/11,1,11.35,128.8225
11/1/11,1,-0.28,0.0784
12/1/11,1,0.74,0.5476
1/1/12,1,5.05,25.5025
2/1/12,1,4.42,19.5364
3/1/12,1,3.11,9.6721
4/1/12,1,-0.85,0.7225
5/1/12,1,-6.19,38.3161
6/1/12,1,3.89,15.1321
7/1/12,1,0.79,0.6241
8/1/12,1,2.55,6.5025
9/1/12,1,2.73,7.4529
10/1/12,1,-1.76,3.0976
11/1/12,1,0.78,0.6084
12/1/12,1,1.18,1.3924
1/1/13,1,5.57,31.0249
2/1/13,1,1.29,1.6641
3/1/13,1,4.03,16.2409
4/1/13,1,1.56,2.4336
5/1/13,1,2.8,7.84
6/1/13,1,-1.2,1.44
7/1/13,1,5.65,31.9225
8/1/13,1,-2.71,7.3441
9/1/13,1,3.77,14.2129
10/1/13,1,4.18,17.4724
11/1/13,1,3.12,9.7344
12/1/13,1,2.81,7.8961
1/1/14,1,-3.32,11.0224
2/1/14,1,4.65,21.6225
3/1/14,1,0.43,0.1849
4/1/14,1,-0.19,0.0361
5/1/14,1,2.06,4.2436
6/1/14,1,2.61,6.8121
7/1/14,1,-2.04,4.1616
8/1/14,1,4.23,17.8929
9/1/14,1,-1.97,3.8809
10/1/14,1,2.52,6.3504
11/1/14,1,2.55,6.5025
12/1/14,1,-0.06,0.0036
1/1/15,1,-3.11,9.6721
2/1/15,1,6.13,37.5769
3/1/15,1,-1.12,1.2544
4/1/15,1,0.59,0.3481
5/1/15,1,1.36,1.8496
6/1/15,1,-1.53,2.3409
7/1/15,1,1.54,2.3716
8/1/15,1,-6.04,36.4816
9/1/15,1,-3.07,9.4249
10/1/15,1,7.75,60.0625
11/1/15,1,0.56,0.3136
12/1/15,1,-2.17,4.7089
1/1/16,1,-5.77,33.2929
